Id,SalePrice
1461,101181.19414624774
1462,152293.41317531493
1463,171938.31417959728
1464,185223.05164070867
1465,196957.77788026337
1466,170145.10374557256
1467,174988.1304315397
1468,157563.84586219498
1469,206820.19186005852
1470,114305.33389077586
1471,204551.5259698548
1472,117428.93705208617
1473,103164.45862249583
1474,160473.0429536713
1475,113958.96936552458
1476,351902.2047431744
1477,245921.16655684443
1478,326036.58978644636
1479,303672.5336203585
1480,446749.298740858
1481,298909.65511952573
1482,231504.18061144924
1483,172042.58238287584
1484,180959.28247786377
1485,207629.70156212753
1486,201156.61346149916
1487,301435.6305754702
1488,237086.02565804735
1489,191053.47128179207
1490,224251.94930190875
1491,203207.99986647302
1492,99179.896228853
1493,231504.73765222897
1494,265340.35232174414
1495,259183.80920010392
1496,256138.69268828508
1497,188935.9743622741
1498,195551.3591753976
1499,178146.3112402241
1500,170978.2679564073
1501,214986.8639059362
1502,172410.0923291072
1503,260745.67165817448
1504,239598.0259494815
1505,215590.65383733116
1506,198917.55488295216
1507,250940.8331366455
1508,208987.4931010595
1509,162673.03632998705
1510,145752.77148085865
1511,163909.51414781704
1512,163706.86687589897
1513,165983.99700817312
1514,122972.76083243941
1515,207668.86244574017
1516,161921.82656216723
1517,167561.15982346857
1518,126158.17634213335
1519,222052.10386079748
1520,121752.37402294102
1521,122135.88830783873
1522,199321.19546431396
1523,106926.8930492437
1524,104564.55680629719
1525,104084.76697818602
1526,98780.08259912963
1527,92828.163281982
1528,131170.56961899516
1529,147888.9434426133
1530,210111.31299396622
1531,150535.99793304122
1532,58295.282492448605
1533,145315.7220206255
1534,106067.10531162446
1535,133241.16557125153
1536,85303.49737311377
1537,42230.413286311756
1538,152932.6645766966
1539,206866.38251632586
1540,104353.36399628918
1541,157470.38105751446
1542,131693.38075153079
1543,205542.84445184493
1544,59022.13733422202
1545,111393.97821793494
1546,139582.23751811555
1547,134587.56338266947
1548,136109.86199843304
1549,110089.37833772434
1550,144357.48792912503
1551,105142.15746451804
